WORKORDER_BASE_ID,WORKORDER_LOT_ID,Order Shortage
0100520,1,"12M-GRP OP#12 Loss: 13.6%, CLN-L OP#16 Loss: 10.4%, S 76 OP#20 Loss: 11.0%, "
0100522,1,
0100523,1,
0100524,1,
0100526,1,
0100527,1,
0100528,1,
0100529,1,"F-MILL GRP OP#120 Loss: 24.0%, "
0100530,1,
0100531,1,
0100532,1,
0100533,1,
0100533,R,"A-D2 OP#120 Loss: 53.3%, "
0100534,1,"S 149 #1 OP#30 Loss: 30.8%, "
0100536,1,
0100537,1,
0100538,1,
0100539,1,
0100540,1,
0100540/R,1,"F-MILL GRP OP#100 Loss: 30.9%, F-CLN OP#105 Loss: 31.3%, F-SLIT OP#110 Loss: 30.1%, F-MILL GRP OP#120 Loss: 32.7%, "
0100541,1,
0100542,1,
0100543,1,
0100544,1,
0100545,1,"S 149 #1 OP#101 Loss: 91.5%, "
0100546,1,
0100548,1,
0100549,1,
0100550,1,
0100551,1,
0100552,1,
0100553,1,
0100554,1,
0100555,1,
0100556,1,
0100557,1,
0100558,1,
0100559,1,
0100560,1,
0100561,1,
0100562,1,
0100563,1,
0100564,1,
0100565,1,
0100566,1,
0100567,1,
0100567,2,
0100569,1,
0100570,1,
0100571,1,
0100572,1,
0100573,1,
0100574,1,"12M-2 OP#20 Loss: 33.4%, "
0100575,1,
0100576,1,
0100577,1,
0100578,1,
0100579,1,
0100581,1,
0100582,1,
0100584,1,"12M-GRP OP#20 Loss: 22.4%, "
0100585,1,"12M-GRP OP#160 Loss: 12.6%, "
0100585,2,
0100586,1,
0100587,1,
0100589,1,
0100591,1,"F WRAP OP#160 Loss: 38.6%, "
0100593,1,"F-BLK OP#110 Loss: 44.1%, F-MILL #2 OP#130 Loss: 39.7%, F WRAP OP#160 Loss: 53.6%, "
0100596,1,
0100597,1,"A-D1 OP#90 Loss: 55.2%, "
0100598,1,
0100598,2,
0100599,1,
0100600,1,
0100603,1,"B DEBURRING OP#130 Loss: 99.1%, "
0100605,1,
0100610,1,
0100611,1,
0100612,1,
0100619,1,
0100622,1,
0100623,1,
0100624,1,
0100625,1,"12M-GRP OP#133 Loss: 40.8%, "
0100626,1,"S 149 GRP OP#20 Loss: 73.5%, "
0100627,1,
0100628,1,
0100630,1,
0100631,1,
0100632,1,
0100633,1,
0100634,1,"A-D2 OP#110 Loss: 11.2%, "
0100634,2,
0100634,3,
0100635,1,"S 149 #2 OP#160 Loss: 23.2%, "
0100636,1,
0100637,1,
0100638,1,
0100639,1,
0100640,1,"S 76 OP#100 Loss: 48.2%, "
0100640,2,
0100641,1,
0100642,1,"12M-GRP OP#20 Loss: 10.1%, "
0100643,1,
0100644,1,
0100645,1,
